femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,declarationYear,latitude,longitude
EM-3067-CA,3067,CA,EM,1978-10-29T00:00:00.000Z,1979,Fire,BRUSH FIRES,0,1,0,0,1978-10-29T00:00:00.000Z,1978-10-29T00:00:00.000Z,1986-05-27T00:00:00.000Z,0,6,37,99037,Los Angeles (County),79002,,2023-05-22T03:41:22.800Z,08ad7a24834b2742ded607aa14cfc078c7b2614f,03bda0f7-811d-47d7-ad40-3d3c51cc0bf6,1978,34.32134579,-118.224703
EM-3066-NY,3066,NY,EM,1978-08-07T00:00:00.000Z,1978,Toxic Substances,"CHEMICAL WASTE, LOVE CANAL",0,0,1,0,1978-08-07T00:00:00.000Z,1978-08-07T00:00:00.000Z,2011-09-30T00:00:00.000Z,0,36,83,99083,Rensselaer (County),78084,,2023-05-22T03:41:22.800Z,cef3f47112109d043e66f1d781b0be1ff5e0aef3,9b8961ec-f434-4450-8a63-1d6856061b32,1978,42.71103722,-73.50952678
EM-3065-ND,3065,ND,EM,1978-07-07T00:00:00.000Z,1978,Tornado,SEVERE STORMS & TORNADOES,0,1,1,0,1978-07-07T00:00:00.000Z,1978-07-07T00:00:00.000Z,1984-10-24T00:00:00.000Z,0,38,37,99037,Grant (County),78076,,2023-05-22T03:41:22.800Z,60c8d0dc8a570609fd85f53e467ca7a66d954dcf,2577f486-0e97-4128-833a-35e48fd62f8c,1978,46.35813751,-101.6397779
EM-3064-AL,3064,AL,EM,1978-04-24T00:00:00.000Z,1978,Tornado,TORNADOES,0,1,0,0,1978-04-24T00:00:00.000Z,1978-04-24T00:00:00.000Z,1981-11-06T00:00:00.000Z,0,1,99,99099,Monroe (County),78069,,2023-05-22T03:41:22.800Z,703036b9596b866619d082b16ae4d8f4d611750b,56f4b81b-beee-49cf-b16a-2b0becbf5409,1978,31.57107175,-87.36529615
EM-3064-AL,3064,AL,EM,1978-04-24T00:00:00.000Z,1978,Tornado,TORNADOES,0,1,0,0,1978-04-24T00:00:00.000Z,1978-04-24T00:00:00.000Z,1981-11-06T00:00:00.000Z,0,1,101,99101,Montgomery (County),78069,,2023-05-22T03:41:22.800Z,58b436f01336b4facc4a914671357a84394f4c05,901a20d3-e574-4e58-804e-186d8048dcd6,1978,32.22089414,-86.20787706
EM-3063-MS,3063,MS,EM,1978-04-24T00:00:00.000Z,1978,Tornado,TORNADOES,0,1,0,0,1978-04-24T00:00:00.000Z,1978-04-24T00:00:00.000Z,1979-01-16T00:00:00.000Z,0,28,5,99005,Amite (County),78068,,2023-05-22T03:41:22.800Z,073b3b38b08992d2d602afb8867e2f38ab5b7e6f,ed5de1f9-9f39-4fc5-aa3b-3a18c193168e,1978,31.17425244,-90.80453378
EM-3063-MS,3063,MS,EM,1978-04-24T00:00:00.000Z,1978,Tornado,TORNADOES,0,1,0,0,1978-04-24T00:00:00.000Z,1978-04-24T00:00:00.000Z,1979-01-16T00:00:00.000Z,0,28,11,99011,Bolivar (County),78068,,2023-05-22T03:41:22.800Z,c32440018b8754a30449e1af2dba4105c1daebe5,4e964356-ab34-4ef5-b8df-dfcb765a1a45,1978,33.79549267,-90.8802491
EM-3063-MS,3063,MS,EM,1978-04-24T00:00:00.000Z,1978,Tornado,TORNADOES,0,1,0,0,1978-04-24T00:00:00.000Z,1978-04-24T00:00:00.000Z,1979-01-16T00:00:00.000Z,0,28,21,99021,Claiborne (County),78068,,2023-05-22T03:41:22.800Z,9bc9feb17fcdd8f2d22f1a8856a4dec88906f150,84a90671-4c5a-42ad-a444-a15bdfc0dac4,1978,31.9736924,-90.91182829
EM-3063-MS,3063,MS,EM,1978-04-24T00:00:00.000Z,1978,Tornado,TORNADOES,0,1,0,0,1978-04-24T00:00:00.000Z,1978-04-24T00:00:00.000Z,1979-01-16T00:00:00.000Z,0,28,27,99027,Coahoma (County),78068,,2023-05-22T03:41:22.800Z,a15a0c7534d7d8ba7dc663794fda6181f8e9ba5b,11545291-a879-4c14-a729-db57f069f47c,1978,34.22906962,-90.60273114
EM-3063-MS,3063,MS,EM,1978-04-24T00:00:00.000Z,1978,Tornado,TORNADOES,0,1,0,0,1978-04-24T00:00:00.000Z,1978-04-24T00:00:00.000Z,1979-01-16T00:00:00.000Z,0,28,29,99029,Copiah (County),78068,,2023-05-22T03:41:22.800Z,7c39aead3326eb77d0e9f23544b19cbfa76458a1,39954311-f7d7-4de2-88d6-421433fb1993,1978,31.86883689,-90.44883293
